text,label
yo gimme ur snap 😂 idc??,Predatory
nah im broke rn 😂 rn...,Not Predatory
nah im tired ong highk,Not Predatory
nobody else important lol lowk!!,Predatory
we gotta keep quiet bro lowk??,Predatory
nah i muted u lol ong ngl!!,Not Predatory
nobody gotta kno bro asap!!,Predatory
yo gimme ur snap smh tbh!!,Predatory
stay quiet abt this 💀 later,Predatory
move this convo to dms lol tbh!,Predatory
stay quiet abt this lmao ngl!,Predatory
anyone tryna play idc?,Not Predatory
lowk that was fire lmao asap??,Not Predatory
anyone got hw done bro tbh...,Not Predatory
hide this convo fr asap??,Predatory
nah game bugged lol rn?,Not Predatory
dont tell ur friends ong tbh!,Predatory
yo queue up 😭 lowk?,Not Predatory
yo lets squad ong later?,Not Predatory
lowk that was fire bro rn,Not Predatory
yo hop on vc 😂!!,Not Predatory
lmfao u trash smh asap...,Not Predatory
move this convo to dms lol rn!!,Predatory
ill keep it secret lol asap??,Predatory
don’t say nun lmao,Predatory
trust me u fine fr tho??,Predatory
shh its secret 😂 ngl!,Predatory
stay quiet abt this lol!,Predatory
yo invite me smh ngl!!,Not Predatory
this chat dead lowk 💀!,Not Predatory
don’t tell no1 😭 tho?,Predatory
who hosting rn ong rn...,Not Predatory
nah i muted u lol lol tbh!!,Not Predatory
no1 gotta kno fr 💀 asap...,Predatory
bruh stop camping 😂 ngl,Not Predatory
nah i muted u lol 😂 later??,Not Predatory
nah i’m off rn 😭 rn!,Not Predatory
we shud link irl 💀 tbh...,Predatory
parents wont find out smh rn,Predatory
lowk need food fr asap!,Not Predatory
yo gimme ur snap 💀 highk??,Predatory
nah game bugged 💀 later?,Not Predatory
nobody else gotta see 😭 later!,Predatory
shh its secret ong!!,Predatory
just us two smh highk!!,Predatory
nah game bugged lol tbh??,Not Predatory
nobody else important 😂 tbh?,Predatory
nah im tired 😂 highk?,Not Predatory
bruh u always late 😂 later?,Not Predatory
slide me ur addy smh later?,Predatory
this just btwn u n me 😭 later!,Predatory
yo hop on vc bro...,Not Predatory
yo invite me bro later!,Not Predatory
this lobby sweaty af ong tho,Not Predatory
parents wont find out smh later??,Predatory
yo drop ur ign fr ngl?,Not Predatory
nah i muted u lol 😭 highk!,Not Predatory
trust me u fine ong tbh...,Predatory
hide this convo 💀 highk??,Predatory
don’t say nun smh??,Predatory
slide me ur addy ong highk??,Predatory
i won’t snitch dw lol rn!!,Predatory
yo check discord 💀 idc?,Not Predatory
trust me it’s safe smh idc!!,Predatory
lol that meme killed me fr rn??,Not Predatory
nah i lagged lmao idc!!,Not Predatory
shh its secret 😭 lowk?,Predatory
yo invite me 😂 rn??,Not Predatory
delete logs later 💀 lowk?,Predatory
nah i gotta dip smh idc!!,Not Predatory
promise i won’t tell lol lowk!!,Predatory
lol that meme killed me bro later!!,Not Predatory
nah game bugged bro highk!!,Not Predatory
ggs that was fun lol highk?,Not Predatory
nobody else important ong asap?,Predatory
nobody gotta kno ong ngl...,Predatory
yo send link ong lowk...,Not Predatory
nah im broke rn ong rn!!,Not Predatory
we gotta keep quiet smh ngl!,Predatory
send it here only 💀 idc??,Predatory
u on rn smh!!,Not Predatory
delete these msgs after fr asap...,Predatory
nah i muted u lol fr tbh!,Not Predatory
send me dm rn ong asap,Predatory
ill keep it secret fr asap,Predatory
nah game bugged 😭 highk??,Not Predatory
fr that update trash 😂!,Not Predatory
u see that update lol asap!,Not Predatory
yo invite me smh!!,Not Predatory
anyone got hw done ong highk!!,Not Predatory
lmfao u trash later...,Not Predatory
dont ask why lol rn...,Predatory
this chat dead lowk 💀 tbh...,Not Predatory
anyone got code smh tho!,Not Predatory
this just btwn u n me bro ngl!,Predatory
this team stacked lmao idc!!,Not Predatory
yo hop on vc 💀 ngl?,Not Predatory
delete these msgs after lowk!!,Predatory
trust me u fine 💀 rn!,Predatory
add me private bro tbh,Predatory
nobody gotta kno lmao asap...,Predatory
ur parents don’t gotta kno 😂 asap!!,Predatory
yo lets squad lol tho,Not Predatory
slide me ur addy lol tbh?,Predatory
yo invite me highk??,Not Predatory
dont type it here highk...,Predatory
move this convo to dms smh ngl?,Predatory
u see that update fr later?,Not Predatory
dont tell ur friends bro lowk...,Predatory
nah i’m off rn 😭 tbh...,Not Predatory
send me dm rn smh idc,Predatory
lowk that was fire lowk,Not Predatory
parents wont find out 💀 lowk,Predatory
lmfao u trash ngl!!,Not Predatory
nah i cant today 💀 lowk?,Not Predatory
this lobby sweaty af 😂 asap??,Not Predatory
hide this convo lol ngl...,Predatory
yo lets squad 😂 tho,Not Predatory
bruh u always late 😂 ngl,Not Predatory
nah i lagged smh later...,Not Predatory
yo queue up 😭 highk!,Not Predatory
yo drop ur ign lol lowk!!,Not Predatory
keep this btwn us bro idc?,Predatory
this team stacked fr ngl,Not Predatory
u on rn ong tbh??,Not Predatory
nah im tired lol rn!,Not Predatory
delete logs later tbh!,Predatory
nobody else important fr later...,Predatory
fr that update trash smh asap??,Not Predatory
this just btwn u n me 💀 tho??,Predatory
nah i cant today ong idc...,Not Predatory
im down for comp smh idc!!,Not Predatory
nah i’m off rn bro highk...,Not Predatory
this chat dead lowk ong highk?,Not Predatory
slide me ur addy highk??,Predatory
lowk that was fire smh?,Not Predatory
nah im broke rn lol lowk...,Not Predatory
stop acting scared 😂 ngl!!,Predatory
bruh u selling ngl??,Not Predatory
yo lets meet after 😭 highk?,Predatory
bruh u always late fr asap,Not Predatory
its chill trust 😭 asap,Predatory
nah game bugged bro lowk...,Not Predatory
don’t say nun ngl...,Predatory
don’t tell no1 lol tbh,Predatory
send me a pic rq lol tho!,Predatory
nah game bugged smh rn!!,Not Predatory
nah i muted u lol smh tbh!!,Not Predatory
nobody else important 😂 lowk!!,Predatory
no1 gotta kno fr 💀 tho...,Predatory
yo queue up lol highk,Not Predatory
i won’t snitch dw smh idc??,Predatory
bro that clutch insane ong tbh!!,Not Predatory
nobody else gotta see highk!,Predatory
this wifi trash ong highk!!,Not Predatory
this wifi trash lol later!!,Not Predatory
that skin clean af lmao tho!,Not Predatory
i won’t snitch dw smh lowk!!,Predatory
hide this convo ong lowk?,Predatory
add me private 💀 highk!,Predatory
this wifi trash 😭 ngl...,Not Predatory
bruh stop camping smh later!!,Not Predatory
nah game bugged fr tbh!,Not Predatory
ill keep it secret bro ngl?,Predatory
u on rn 😭 asap,Not Predatory
nah game bugged bro highk!,Not Predatory
this lobby sweaty af 😂 later!!,Not Predatory
send me a pic rq 😭...,Predatory
don’t say nun smh later,Predatory
yo lets meet after lmao idc,Predatory
lowk need food fr ngl?,Not Predatory
send it here only asap!,Predatory
yo check discord 😂...,Not Predatory
lowk that was fire bro ngl...,Not Predatory
yo this lobby mid lol lowk!,Not Predatory
just us two smh idc!,Predatory
lowk need food 😭 lowk,Not Predatory
send me dm rn lol tho??,Predatory
send me dm rn bro later?,Predatory
u see that update bro ngl,Not Predatory
nah game bugged 💀 tbh...,Not Predatory
send me a pic rq lmao rn,Predatory
yo check discord lol rn??,Not Predatory
send it here only lmao?,Predatory
yo queue up lmao ngl,Not Predatory
this lobby sweaty af smh rn??,Not Predatory
trust me it’s safe,Predatory
nah im broke rn 😂 tho...,Not Predatory
anyone tryna play 😂 rn!!,Not Predatory
no1 gotta kno fr 😭 ngl!!,Predatory
yo gimme ur snap lmao,Predatory
send me a pic rq lol rn!,Predatory
u on rn 😂 asap!,Not Predatory
bro that clutch insane lmao rn!,Not Predatory
trust me u fine 💀 asap??,Predatory
bruh stop camping fr rn!!,Not Predatory
stay quiet abt this smh lowk!!,Predatory
yo invite me 😂 tho...,Not Predatory
move this convo to dms smh highk??,Predatory
yo gimme ur snap smh rn!!,Predatory
trust me it’s safe ong later!!,Predatory
anyone tryna play bro highk?,Not Predatory
ggs that was fun 😭 rn,Not Predatory
anyone tryna play 😭 highk...,Not Predatory
that skin clean af smh tho!,Not Predatory
yo hop on vc bro idc!!,Not Predatory
dont tell ur friends ong!,Predatory
that skin clean af smh tbh??,Not Predatory
bruh u selling ong later,Not Predatory
nobody gotta kno lol later!,Predatory
lol that meme killed me 😂 highk...,Not Predatory
trust me it’s safe fr??,Predatory
anyone got code lmao idc,Not Predatory
ur parents don’t gotta kno lmao asap...,Predatory
nah game bugged 😂 tho?,Not Predatory
bruh u selling highk??,Not Predatory
nah game bugged 💀!!,Not Predatory
nah i lagged smh lowk!!,Not Predatory
keep this btwn us lol lowk,Predatory
yo check discord lol asap!!,Not Predatory
bruh stop camping bro tbh??,Not Predatory
yo check discord 😂 later...,Not Predatory
add me private 💀 tho?,Predatory
delete logs later 💀 asap,Predatory
stay quiet abt this 💀 ngl!,Predatory
anyone got code bro idc...,Not Predatory
yo invite me lmao later...,Not Predatory
nah game bugged lmao later?,Not Predatory
this wifi trash 😭 later?,Not Predatory
switch to insta smh,Predatory
anyone got code lmao lowk,Not Predatory
stop acting scared ngl!!,Predatory
nah im broke rn 💀 idc,Not Predatory
anyone got hw done fr ngl??,Not Predatory
add me private fr later,Predatory
lol that meme killed me bro rn...,Not Predatory
no1 gotta kno fr 💀 highk...,Predatory
bruh u always late fr tbh??,Not Predatory
ggs that was fun lol idc!,Not Predatory
nobody gotta kno 💀?,Predatory
yo drop ur ign 💀 later!!,Not Predatory
yo lets squad smh tbh,Not Predatory
trust me u fine smh ngl,Predatory
ggs that was fun lmao!,Not Predatory
ur parents don’t gotta kno bro??,Predatory
hide this convo tbh...,Predatory
u see that update bro lowk!!,Not Predatory
yo this lobby mid 😂 rn!,Not Predatory
don’t tell no1 asap?,Predatory
hide this convo 😂 tho,Predatory
we gotta keep quiet fr??,Predatory
act normal in chat bro ngl!!,Predatory
this team stacked lmao later,Not Predatory
who online rn lmao tbh!!,Not Predatory
trust me u fine lmao?,Predatory
u see that update smh rn!!,Not Predatory
hide this convo lol ngl!,Predatory
this chat dead lowk tho!,Not Predatory
dont type it here 😭 tho!!,Predatory
no1 gotta kno fr bro!!,Predatory
i won’t snitch dw lmao highk??,Predatory
parents wont find out lmao idc,Predatory
yo this lobby mid lol lowk??,Not Predatory
slide me ur addy lmao lowk??,Predatory
lmfao u trash 😂 tbh!,Not Predatory
don’t tell no1 later!,Predatory
don’t say nun fr idc!!,Predatory
u see that update fr ngl!,Not Predatory
dont tell ur friends ong rn,Predatory
bruh u always late 💀 rn!,Not Predatory
trust me u fine 😂 ngl!!,Predatory
nobody else gotta see smh lowk,Predatory
yo gimme ur snap lmao idc...,Predatory
who hosting rn ong rn,Not Predatory
who online rn lol rn!!,Not Predatory
promise i won’t tell ngl??,Predatory
nah i lagged ong ngl?,Not Predatory
promise i won’t tell smh??,Predatory
dont ask why 😂 tho??,Predatory
this lobby sweaty af 😭 tho?,Not Predatory
nobody else gotta see 😂 rn!!,Predatory
yo check discord lmao ngl!,Not Predatory
bruh u selling lol lowk,Not Predatory
send me a pic rq smh highk...,Predatory
this team stacked lol rn!,Not Predatory
just us two bro tbh...,Predatory
bruh u selling 💀 idc,Not Predatory
im down for comp bro asap?,Not Predatory
switch to insta asap?,Predatory
promise i won’t tell 😭 rn??,Predatory
send me dm rn 😭 lowk??,Predatory
anyone got code 😂 lowk...,Not Predatory
ill keep it secret 💀 rn??,Predatory
who online rn smh rn?,Not Predatory
im down for comp 💀 tbh...,Not Predatory
nah i muted u lol later?,Not Predatory
yo queue up 😂!,Not Predatory
lol that meme killed me tho?,Not Predatory
we shud link irl bro lowk??,Predatory
trust me u fine ong later!,Predatory
dont tell ur friends ong tho??,Predatory
lmfao u trash lol idc??,Not Predatory
hide this convo fr lowk,Predatory
trust me it’s safe bro asap...,Predatory
dont share this bro highk...,Predatory
anyone tryna play tbh,Not Predatory
we shud link irl 💀 highk,Predatory
nah game bugged tho!,Not Predatory
bruh u funny asf 💀?,Not Predatory
no1 gotta kno fr 😂 idc,Predatory
anyone got code 😂 tbh!,Not Predatory
parents wont find out smh later!!,Predatory
this just btwn u n me ong tbh!,Predatory
come thru tmrw 😭 highk!!,Predatory
this just btwn u n me fr asap?,Predatory
bro that clutch insane lmao tho!!,Not Predatory
trust me it’s safe fr ngl...,Predatory
who hosting rn 💀 later...,Not Predatory
don’t tell no1 😭 highk!!,Predatory
add me private 😂 tho,Predatory
trust me it’s safe 😭 rn,Predatory
nah im broke rn tbh??,Not Predatory
this chat dead lowk 😂 highk!!,Not Predatory
yo check discord ong later...,Not Predatory
nobody gotta kno lol highk,Predatory
nah i muted u lol smh rn??,Not Predatory
this just btwn u n me lmao idc??,Predatory
this lobby sweaty af 😭 later!,Not Predatory
just us two lol asap,Predatory
trust me it’s safe ong idc??,Predatory
ur parents don’t gotta kno fr lowk!!,Predatory
anyone got code bro tbh?,Not Predatory
nah i’m off rn 😂 idc??,Not Predatory
u on rn smh highk!!,Not Predatory
nah im broke rn bro idc,Not Predatory
nah i’m off rn lol idc??,Not Predatory
move this convo to dms 😂 rn,Predatory
stop acting scared smh highk??,Predatory
yo check discord bro later??,Not Predatory
promise i won’t tell lol rn?,Predatory
hide this convo ong asap...,Predatory
this just btwn u n me smh rn?,Predatory
yo lets meet after lmao idc?,Predatory
promise i won’t tell lmao highk??,Predatory
dont share this fr idc!!,Predatory
we shud link irl ong!,Predatory
this just btwn u n me lmao rn!,Predatory
add me private 😂 idc,Predatory
bro that clutch insane 💀 ngl!,Not Predatory
add me private fr ngl!,Predatory
this just btwn u n me 💀 tbh,Predatory
delete these msgs after smh tho!!,Predatory
who online rn fr highk!,Not Predatory
ur parents don’t gotta kno fr ngl!,Predatory
trust me it’s safe 😂 highk,Predatory
send me dm rn 😂 lowk...,Predatory
anyone tryna play 💀 lowk?,Not Predatory
nah im broke rn 😭 idc...,Not Predatory
nah im tired!,Not Predatory
nah i gotta dip lmao tbh?,Not Predatory
just us two ong highk!!,Predatory
slide me ur addy lol idc?,Predatory
no1 gotta kno fr 😂 later!!,Predatory
anyone got hw done lmao ngl??,Not Predatory
parents wont find out 😭 ngl!,Predatory
switch to insta tho?,Predatory
keep this btwn us tbh...,Predatory
don’t say nun smh tbh!!,Predatory
nah im broke rn fr idc,Not Predatory
nah game bugged bro lowk??,Not Predatory
dont type it here bro later!!,Predatory
ill keep it secret lmao??,Predatory
im down for comp 😂 rn?,Not Predatory
nah i’m off rn bro later!,Not Predatory
who hosting rn ong later??,Not Predatory
come thru tmrw lol tbh??,Predatory
i won’t snitch dw smh lowk,Predatory
trust me u fine fr...,Predatory
send me dm rn 😂 tbh?,Predatory
dont type it here 💀 ngl!!,Predatory
dont type it here lmao??,Predatory
bruh stop camping 😭!,Not Predatory
bruh u funny asf 😂!,Not Predatory
move this convo to dms 😭 tho...,Predatory
yo lets squad bro asap,Not Predatory
nah i’m off rn 😂 later??,Not Predatory
bruh u funny asf ong ngl...,Not Predatory
yo check discord lol tho??,Not Predatory
come thru tmrw lol asap!,Predatory
stop acting scared 😭 lowk!,Predatory
u see that update tho...,Not Predatory
just us two smh tho?,Predatory
yo hop on vc bro tbh?,Not Predatory
lmfao u trash tbh!!,Not Predatory
ggs that was fun lol later?,Not Predatory
nah i gotta dip fr?,Not Predatory
yo gimme ur snap smh later!!,Predatory
hide this convo bro tho??,Predatory
just us two bro rn??,Predatory
nah i muted u lol lol later??,Not Predatory
this chat dead lowk fr tbh...,Not Predatory
keep this btwn us 😭 rn,Predatory
who hosting rn 😂 tho,Not Predatory
yo hop on vc ong tho!!,Not Predatory
ill keep it secret fr,Predatory
send me dm rn 😂 rn?,Predatory
nah im tired smh highk?,Not Predatory
lmfao u trash smh tbh!,Not Predatory
send me dm rn lol!!,Predatory
fr that update trash lol!,Not Predatory
fr that update trash ong tbh...,Not Predatory
lowk that was fire 💀 later...,Not Predatory
act normal in chat lowk!,Predatory
i won’t snitch dw ong tho!,Predatory
promise i won’t tell 😂 lowk??,Predatory
we shud link irl lmao tbh??,Predatory
nah i muted u lol 💀 asap,Not Predatory
anyone tryna play lmao tbh??,Not Predatory
nah im broke rn 😂 later,Not Predatory
hide this convo lmao ngl?,Predatory
nah im tired fr tbh...,Not Predatory
add me private fr highk!!,Predatory
stay quiet abt this 😭 highk...,Predatory
delete these msgs after ong highk!!,Predatory
nah i gotta dip bro highk!!,Not Predatory
yo lets meet after 😭 highk...,Predatory
ur parents don’t gotta kno bro lowk,Predatory
nobody else gotta see 💀 ngl!!,Predatory
this lobby sweaty af lmao ngl!,Not Predatory
lmfao u trash fr idc?,Not Predatory
trust me it’s safe lol highk,Predatory
stop acting scared lol later??,Predatory
add me private 💀 highk??,Predatory
act normal in chat 😭 idc?,Predatory
ur parents don’t gotta kno lol ngl??,Predatory
yo check discord fr tho?,Not Predatory
yo this lobby mid 😂 lowk??,Not Predatory
yo lets meet after fr rn!!,Predatory
act normal in chat lol asap!!,Predatory
ggs that was fun fr idc,Not Predatory
hide this convo bro?,Predatory
yo hop on vc lowk...,Not Predatory
ggs that was fun 😂!!,Not Predatory
i won’t snitch dw 💀 ngl!!,Predatory
delete logs later smh tbh...,Predatory
trust me it’s safe 💀 tbh!,Predatory
ggs that was fun 💀 ngl!!,Not Predatory
bro that clutch insane smh asap...,Not Predatory
yo invite me lmao highk!!,Not Predatory
send me a pic rq 💀 asap...,Predatory
hide this convo fr highk!,Predatory
this just btwn u n me lmao tho?,Predatory
its chill trust ong idc!!,Predatory
bruh u funny asf 😂 idc??,Not Predatory
yo lets squad bro later?,Not Predatory
this team stacked lol asap?,Not Predatory
act normal in chat bro ngl??,Predatory
this team stacked lol idc,Not Predatory
send me dm rn smh tbh!,Predatory
hide this convo smh!,Predatory
stay quiet abt this 💀 tbh??,Predatory
ill keep it secret lol idc...,Predatory
ur parents don’t gotta kno 😭 idc?,Predatory
bruh u funny asf tho...,Not Predatory
trust me it’s safe lol tbh,Predatory
dont ask why 😂 highk!!,Predatory
this lobby sweaty af bro ngl!,Not Predatory
yo send link ong lowk!,Not Predatory
yo drop ur ign lmao later?,Not Predatory
slide me ur addy 😭 tbh,Predatory
nah i’m off rn smh rn,Not Predatory
u on rn lol later,Not Predatory
yo send link 💀 tbh??,Not Predatory
yo send link ong rn??,Not Predatory
trust me u fine lmao tbh...,Predatory
that skin clean af bro lowk!,Not Predatory
act normal in chat 😭 lowk!!,Predatory
anyone got hw done 😂 rn!,Not Predatory
that skin clean af fr lowk?,Not Predatory
yo gimme ur snap bro asap??,Predatory
dont type it here fr lowk...,Predatory
u on rn lol asap,Not Predatory
we shud link irl lmao...,Predatory
yo check discord idc!,Not Predatory
u see that update idc...,Not Predatory
lol that meme killed me ong tho??,Not Predatory
u see that update 😭 later??,Not Predatory
nah game bugged lmao rn!!,Not Predatory
anyone got code 😭!!,Not Predatory
anyone got code smh rn!,Not Predatory
nah i cant today bro highk??,Not Predatory
ur parents don’t gotta kno highk,Predatory
we shud link irl 💀 asap?,Predatory
yo drop ur ign ngl,Not Predatory
yo queue up lol idc?,Not Predatory
send it here only 💀 ngl??,Predatory
yo invite me smh idc!!,Not Predatory
nah i lagged ong ngl!!,Not Predatory
add me private later?,Predatory
don’t tell no1 😂 tbh?,Predatory
bro that clutch insane 💀 later??,Not Predatory
just us two ong idc??,Predatory
dont tell ur friends ong rn?,Predatory
lmfao u trash ong lowk!,Not Predatory
fr that update trash lmao tbh!!,Not Predatory
yo gimme ur snap smh idc!,Predatory
nah i cant today fr ngl?,Not Predatory
nah i muted u lol lol tbh??,Not Predatory
this team stacked fr later?,Not Predatory
bruh stop camping 😂 highk!!,Not Predatory
send me dm rn 💀 later...,Predatory
ur parents don’t gotta kno 😭 tho!,Predatory
nah i cant today 😂 ngl??,Not Predatory
ggs that was fun bro idc...,Not Predatory
yo check discord fr asap!!,Not Predatory
we gotta keep quiet asap??,Predatory
ggs that was fun ong highk...,Not Predatory
ill keep it secret bro later...,Predatory
who online rn lmao later...,Not Predatory
send it here only fr idc!,Predatory
yo gimme ur snap lol,Predatory
don’t tell no1 lmao idc...,Predatory
nobody else gotta see 😂 idc...,Predatory
fr that update trash lmao asap!!,Not Predatory
yo lets squad 💀 tho??,Not Predatory
nah i muted u lol 😭 tbh!,Not Predatory
yo drop ur ign ong?,Not Predatory
anyone tryna play smh rn...,Not Predatory
hide this convo lol later...,Predatory
this wifi trash smh idc?,Not Predatory
stay quiet abt this bro lowk...,Predatory
u on rn 💀 asap,Not Predatory
no1 gotta kno fr fr tho?,Predatory
send me dm rn ngl?,Predatory
this team stacked bro rn...,Not Predatory
yo lets meet after bro highk...,Predatory
who online rn lmao lowk?,Not Predatory
yo lets squad ong idc?,Not Predatory
ggs that was fun lmao idc,Not Predatory
delete logs later 😂 asap,Predatory
yo check discord 💀 asap??,Not Predatory
this wifi trash fr asap...,Not Predatory
u on rn 😭 idc??,Not Predatory
bruh u selling 😭 ngl?,Not Predatory
ggs that was fun 😂 ngl!!,Not Predatory
switch to insta fr lowk,Predatory
yo hop on vc 💀 asap,Not Predatory
send it here only 💀 highk,Predatory
fr that update trash fr asap!!,Not Predatory
keep this btwn us bro asap?,Predatory
just us two 😂 tho...,Predatory
bro that clutch insane 😂 idc??,Not Predatory
parents wont find out 💀 asap,Predatory
i won’t snitch dw 😭 asap!,Predatory
this lobby sweaty af smh asap...,Not Predatory
delete logs later fr later!!,Predatory
don’t tell no1 fr ngl??,Predatory
delete these msgs after 💀 rn,Predatory
send it here only 💀 lowk...,Predatory
act normal in chat 😭 ngl...,Predatory
bruh stop camping bro ngl??,Not Predatory
nobody else gotta see fr...,Predatory
shh its secret fr highk?,Predatory
that skin clean af 💀 ngl!!,Not Predatory
u see that update fr asap!,Not Predatory
nobody else important lmao highk!!,Predatory
shh its secret ong tho,Predatory
we gotta keep quiet smh!!,Predatory
anyone got code 💀 rn??,Not Predatory
dont tell ur friends 😂 rn...,Predatory
ill keep it secret 💀 lowk??,Predatory
this team stacked fr tbh!!,Not Predatory
we shud link irl lol ngl?,Predatory
bruh u selling 😂 ngl!!,Not Predatory
parents wont find out highk??,Predatory
nah im tired 💀 highk?,Not Predatory
this chat dead lowk lol later!!,Not Predatory
send me dm rn smh asap!!,Predatory
yo lets squad 😂 lowk...,Not Predatory
dont ask why bro later!,Predatory
dont tell ur friends lmao ngl?,Predatory
ill keep it secret fr later...,Predatory
this chat dead lowk lmao lowk,Not Predatory
yo lets squad 😭 rn??,Not Predatory
ur parents don’t gotta kno lol?,Predatory
this just btwn u n me lmao...,Predatory
yo lets meet after bro!,Predatory
nobody gotta kno lmao!!,Predatory
yo queue up bro rn?,Not Predatory
nah i muted u lol lmao,Not Predatory
who online rn 😂?,Not Predatory
yo this lobby mid bro lowk!,Not Predatory
yo lets meet after bro asap??,Predatory
act normal in chat ong asap!,Predatory
move this convo to dms smh,Predatory
move this convo to dms 💀 idc!,Predatory
u on rn 😂 highk!!,Not Predatory
i won’t snitch dw 💀 tbh!,Predatory
don’t tell no1 😂 lowk!,Predatory
lowk that was fire 😭 tbh!!,Not Predatory
yo queue up 😭 tho...,Not Predatory
dont share this 💀 ngl?,Predatory
yo queue up 💀 tho??,Not Predatory
stay quiet abt this 💀 tbh!,Predatory
fr that update trash lol asap??,Not Predatory
u on rn smh lowk!!,Not Predatory
yo queue up ong asap??,Not Predatory
bruh u selling 😂 rn!!,Not Predatory
anyone got hw done 💀 later,Not Predatory
dont tell ur friends smh asap!,Predatory
nah im broke rn 😂 highk??,Not Predatory
yo queue up smh tbh??,Not Predatory
yo check discord smh idc!,Not Predatory
nobody else important lol rn,Predatory
ur parents don’t gotta kno 😭 lowk,Predatory
shh its secret ong ngl,Predatory
switch to insta smh highk!!,Predatory
yo check discord bro later!,Not Predatory
nah game bugged lol idc??,Not Predatory
nah i’m off rn fr idc,Not Predatory
this lobby sweaty af later??,Not Predatory
trust me it’s safe lol lowk...,Predatory
act normal in chat lol tbh,Predatory
nah i lagged lmao lowk?,Not Predatory
stay quiet abt this fr later,Predatory
yo check discord 😂 ngl...,Not Predatory
bruh u funny asf 💀 highk!!,Not Predatory
hide this convo 😂 later!,Predatory
who online rn ong idc!,Not Predatory
yo lets meet after lol highk??,Predatory
dont share this lol ngl...,Predatory
delete logs later 😂 ngl...,Predatory
send me a pic rq 😭 asap!,Predatory
yo gimme ur snap 😂 idc?,Predatory
dont tell ur friends 😂 later!!,Predatory
delete logs later ong later??,Predatory
anyone got hw done 😂 later!!,Not Predatory
nobody else important lmao tbh,Predatory
im down for comp 😂 ngl!,Not Predatory
hide this convo 💀 later,Predatory
this lobby sweaty af lmao lowk...,Not Predatory
this just btwn u n me 😂 lowk!!,Predatory
nah i cant today lol lowk...,Not Predatory
yo hop on vc lmao??,Not Predatory
bruh u selling ngl...,Not Predatory
anyone got code ong highk??,Not Predatory
we shud link irl fr lowk...,Predatory
this chat dead lowk lmao rn!!,Not Predatory
this lobby sweaty af lol!!,Not Predatory
dont tell ur friends smh idc,Predatory
nah game bugged lol later?,Not Predatory
ur parents don’t gotta kno 😂 asap??,Predatory
bruh stop camping lol tbh?,Not Predatory
yo drop ur ign fr tho!!,Not Predatory
that skin clean af lol idc?,Not Predatory
trust me u fine ong tbh!!,Predatory
lowk need food smh tho!!,Not Predatory
nah i cant today lmao lowk!,Not Predatory
ur parents don’t gotta kno 😭 asap?,Predatory
send it here only bro lowk??,Predatory
yo check discord ong highk?,Not Predatory
who hosting rn 😭 tbh...,Not Predatory
nah i lagged highk!!,Not Predatory
this just btwn u n me bro tho??,Predatory
ur parents don’t gotta kno bro lowk??,Predatory
this team stacked ong asap!!,Not Predatory
nobody gotta kno 😭 lowk??,Predatory
that skin clean af fr tho??,Not Predatory
don’t say nun 💀 highk...,Predatory
this team stacked lmao asap??,Not Predatory
lol that meme killed me highk...,Not Predatory
yo invite me bro ngl,Not Predatory
don’t say nun smh!,Predatory
ggs that was fun 💀 highk!!,Not Predatory
hide this convo smh idc...,Predatory
we shud link irl lowk?,Predatory
yo check discord bro later,Not Predatory
yo gimme ur snap bro asap!!,Predatory
shh its secret bro rn,Predatory
ggs that was fun lol??,Not Predatory
yo send link smh tbh!,Not Predatory
bruh u selling 💀 tbh?,Not Predatory
yo lets meet after ong...,Predatory
delete these msgs after idc?,Predatory
don’t say nun lol highk!!,Predatory
i won’t snitch dw fr asap?,Predatory
bruh stop camping lol tbh,Not Predatory
its chill trust lol asap?,Predatory
delete these msgs after ong rn...,Predatory
yo lets squad ong highk...,Not Predatory
add me private fr ngl?,Predatory
this lobby sweaty af ong tbh...,Not Predatory
hide this convo smh ngl!!,Predatory
bruh u always late ong!,Not Predatory
its chill trust smh idc?,Predatory
stay quiet abt this 💀 tho!!,Predatory
yo this lobby mid 💀 tho!,Not Predatory
we gotta keep quiet 😂 tho,Predatory
send it here only lol tbh!!,Predatory
nobody else gotta see 😭,Predatory
send it here only 😂 idc?,Predatory
come thru tmrw 😭 tbh??,Predatory
bro that clutch insane fr ngl?,Not Predatory
don’t say nun lmao lowk?,Predatory
delete these msgs after bro later!,Predatory
switch to insta smh rn??,Predatory
dont share this fr rn!,Predatory
trust me it’s safe 😭 tho...,Predatory
send me dm rn lol asap...,Predatory
lowk need food 💀 tho?,Not Predatory
this lobby sweaty af tho...,Not Predatory
dont type it here smh ngl!,Predatory
this team stacked lmao rn,Not Predatory
bruh u always late asap??,Not Predatory
slide me ur addy highk?,Predatory
slide me ur addy tho,Predatory
lowk that was fire bro??,Not Predatory
slide me ur addy bro ngl,Predatory
anyone tryna play asap?,Not Predatory
nobody gotta kno bro highk,Predatory
hide this convo 😭 highk,Predatory
trust me u fine 💀 asap!,Predatory
nah game bugged lmao tbh?,Not Predatory
send it here only smh ngl?,Predatory
nah i’m off rn lmao tho!,Not Predatory
shh its secret 💀 lowk!,Predatory
nah im broke rn ong rn?,Not Predatory
ggs that was fun 💀 lowk?,Not Predatory
u see that update 😂 lowk!!,Not Predatory
this just btwn u n me highk,Predatory
bruh u selling lmao idc!!,Not Predatory
